Location,Date,Description,Cost,Category
Whole Foods,3/29/2020,cucumber,$0.79 ,produce
Whole Foods,3/29/2020,oats,$3.99 ,breakfast
Whole Foods,3/29/2020,marinara,$2.29 ,condiments
Whole Foods,3/29/2020,refund,($60.33),grocery
EMS Garden Apartments,4/1/2020,Rent,$900.00 ,rent
EMS Garden Apartments,4/1/2020,Rent,$900.00 ,rent
ConEdison,4/1/2020,Electricity,$24.07 ,utilities
ConEdison,4/1/2020,Electricity,$24.07 ,utilities
Verizon,4/16/2020,Internet,$21.24 ,utilities
Verizon,4/16/2020,Internet,$21.24 ,utilities
Optimum,4/27/2020,1st bill,$53.49 ,utilities
Shopify,4/11/2020,Website,$14.16 ,business
Adobe,4/24/2020,Creative Cloud,$0.00 ,business
Whole Foods,4/3/2020,cream cheese,$3.19 ,dairy
Whole Foods,4/3/2020,eggs,$3.19 ,produce
Whole Foods,4/3/2020,mixed berry,$3.99 ,condiments
Whole Foods,4/3/2020,pancake flour,$3.99 ,breakfast
Whole Foods,4/3/2020,milk,$2.99 ,dairy
Whole Foods,4/3/2020,syrup,$8.99 ,condiments
Whole Foods,4/3/2020,mixed greens,$4.99 ,produce
Whole Foods,4/3/2020,peanut butter,$4.19 ,condiments
Whole Foods,4/3/2020,bread,$5.98 ,bread
Whole Foods,4/3/2020,oats,$2.99 ,breakfast
Whole Foods,4/3/2020,buns,$2.99 ,bread
Whole Foods,4/3/2020,bagels,$5.29 ,breakfast
Whole Foods,4/3/2020,bagels,$3.49 ,breakfast
Whole Foods,4/3/2020,tip,$5.00 ,grocery
Thinx,4/4/2020,Period panties,$56.10 ,hygiene
Amazon,4/14/2020,shower curtain,$17.99 ,improvement
Amazon,4/14/2020,tax,$1.60 ,misc
Whole Foods,4/17/2020,bagels,$4.99 ,breakfast
Whole Foods,4/17/2020,pinto beans,$0.79 ,canned
Whole Foods,4/17/2020,pinto beans,$0.79 ,canned
Whole Foods,4/17/2020,bread,$3.49 ,bread
Whole Foods,4/17/2020,garbanzo beans,$0.79 ,canned
Whole Foods,4/17/2020,elbow pasta,$0.99 ,pasta
Whole Foods,4/17/2020,angel hair pasta,$1.39 ,pasta
Whole Foods,4/17/2020,angel hair pasta,$1.39 ,pasta
Whole Foods,4/17/2020,apples (4),$2.81 ,produce
Whole Foods,4/17/2020,crackers,$3.39 ,snacks
Whole Foods,4/17/2020,eggs,$4.69 ,produce
Whole Foods,4/17/2020,eggs,$4.69 ,produce
Whole Foods,4/17/2020,arugula,$1.99 ,produce
Whole Foods,4/17/2020,spinach,$1.99 ,produce
Whole Foods,4/17/2020,black beans,$0.79 ,canned
Whole Foods,4/17/2020,onions (2),$0.77 ,produce
Whole Foods,4/17/2020,bell pepper,$1.76 ,produce
Whole Foods,4/17/2020,tip,$5.00 ,grocery
Updater,4/24/2020,Address change,$1.00 ,misc
Wayfair,4/24/2020,couch,$224.00 ,improvement
Wayfair,4/24/2020,tax,$14.84 ,misc
Walmart,4/25/2020,rug,$47.14 ,improvement
Walmart,4/25/2020,tv stand,$28.88 ,improvement
Walmart,4/25/2020,tax,$5.04 ,misc
Unpakt,4/29/2020,Moving,$523.81 ,transportation
Transfer from Mom,4/29/2020,Reimbursement,($523.81),transportation
Lyft,4/30/2020,ride cost,$96.66 ,transportation
Lyft,4/30/2020,tip,$24.16 ,transportation
Pompei Pizza,4/30/2020,Pizza,$40.50 ,restaurant
Pompei Pizza,4/30/2020,tax,$2.55 ,misc
Pompei Pizza,4/30/2020,fee,$0.95 ,misc
Pompei Pizza,4/30/2020,discount,($2.03),restaurant
Pompei Pizza,4/30/2020,tip,$8.10 ,restaurant
EMS Garden Apartments,5/1/2020,Rent,$900.00 ,rent
EMS Garden Apartments,5/1/2020,Rent,$900.00 ,rent
Bayonne 19 East Street LLC,5/11/2020,May rent,"$1,705.00 ",rent
ConEdison,5/1/2020,Electricity,$59.42 ,utilities
PSEG,5/21/2020,Electricity,$41.33 ,utilities
Verizon,5/18/2020,Internet,$42.48 ,utilities
Shopify,5/11/2020,Website,$15.24 ,business
Adobe,5/24/2020,Creative Cloud,$0.00 ,business
Bayonne BBQ & Wings,5/1/2020,dinner,$36.60 ,restaurant
Bayonne BBQ & Wings,5/1/2020,tax,$2.56 ,misc
Bayonne BBQ & Wings,5/1/2020,tip,$7.32 ,restaurant
Bayonne BBQ & Wings,5/1/2020,delivery,$2.00 ,restaurant
Whole Foods,5/2/2020,apples (4),$2.96 ,produce
Whole Foods,5/2/2020,tomatoes (2),$1.37 ,produce
Whole Foods,5/2/2020,bell peppers (2),$1.86 ,produce
Whole Foods,5/2/2020,Cheerios,$2.99 ,breakfast
Whole Foods,5/2/2020,cheddar,$2.99 ,dairy
Whole Foods,5/2/2020,eggs,$2.99 ,produce
Whole Foods,5/2/2020,milk,$3.69 ,dairy
Whole Foods,5/2/2020,spinach,$1.99 ,produce
Whole Foods,5/2/2020,bread (2),$5.98 ,bread
Whole Foods,5/2/2020,frosted flakes,$6.99 ,breakfast
Whole Foods,5/2/2020,buns (2),$4.98 ,bread
Whole Foods,5/2/2020,oats,$5.29 ,breakfast
Whole Foods,5/2/2020,onions,$4.49 ,produce
Whole Foods,5/2/2020,raisin bran,$3.49 ,breakfast
Whole Foods,5/2/2020,tip,$5.00 ,grocery
Walmart,5/11/2020,flour each 5 lbs (4),$9.16 ,grains
Walmart,5/11/2020,alfredo,$7.08 ,condiments
Walmart,5/11/2020,popcorn,$5.12 ,snacks
Walmart,5/11/2020,peanut butter,$4.68 ,condiments
Walmart,5/11/2020,goldfish 30oz,$6.68 ,snacks
Walmart,5/11/2020,tortilla chips,$3.48 ,snacks
Whole Foods,5/12/2020,tomatos (4),$2.55 ,produce
Whole Foods,5/12/2020,bell pepper,$1.55 ,produce
Whole Foods,5/12/2020,russet potato (8),$2.90 ,produce
Whole Foods,5/12/2020,bell pepper,$1.83 ,produce
Whole Foods,5/12/2020,bell pepper,$1.70 ,produce
Whole Foods,5/12/2020,eggs,$6.38 ,produce
Whole Foods,5/12/2020,bagels,$2.99 ,breakfast
Whole Foods,5/12/2020,strawberry spread,$2.99 ,condiments
Whole Foods,5/12/2020,cheddar,$2.99 ,dairy
Whole Foods,5/12/2020,mozzarella (2),$13.98 ,dairy
Whole Foods,5/12/2020,bagels,$2.99 ,breakfast
Whole Foods,5/12/2020,bread,$2.99 ,bread
Whole Foods,5/12/2020,cream cheese,$2.19 ,dairy
Whole Foods,5/12/2020,bread 8-grain,$2.99 ,bread
Whole Foods,5/12/2020,tip,$5.00 ,grocery
Whole Foods,5/22/2020,tomato,$0.57 ,produce
Whole Foods,5/22/2020,apples (3),$2.19 ,produce
Whole Foods,5/22/2020,sweet potatoes (5),$5.05 ,produce
Whole Foods,5/22/2020,pear (2),$2.99 ,produce
Whole Foods,5/22/2020,bell pepper,$0.81 ,produce
Whole Foods,5/22/2020,cheerios,$2.99 ,breakfast
Whole Foods,5/22/2020,eggs,$3.19 ,produce
Whole Foods,5/22/2020,feta cheese,$3.29 ,dairy
Whole Foods,5/22/2020,kale,$1.99 ,produce
Whole Foods,5/22/2020,carrots,$3.99 ,produce
Whole Foods,5/22/2020,milk,$3.69 ,dairy
Whole Foods,5/22/2020,pepperoni,$2.79 ,meat
Whole Foods,5/22/2020,mushrooms,$2.79 ,produce
Whole Foods,5/22/2020,tip,$5.00 ,grocery
Lyft,5/30/2020,ride cost,$47.65 ,transportation
Lyft,5/30/2020,tip,$9.63 ,transportation
Lyft,5/30/2020,NJ surcharge,$0.50 ,transportation
Penske,5/30/2020,moving truck,$662.14 ,transportation
Wendys,5/31/2020,frosties and sandwiches,$10.01 ,restaurant
ConEd,6/12/2020,Electricity,$27.82 ,utilities
PSEG,6/16/2020,Electricity,$19.99 ,utilities
Shopify,6/10/2020,Website,$15.24 ,business
Murphys Express,6/1/2020,Gas,$37.50 ,transportation
CVS,6/1/2020,Shampoo,$9.29 ,hygiene
CVS,6/1/2020,Conditioner,$4.64 ,hygiene
CVS,6/1/2020,Lotion for Eczema,$15.99 ,hygiene
CVS,6/1/2020,Body wash,$8.99 ,hygiene
CVS,6/1/2020,Sunscreen,$13.49 ,hygiene
CVS,6/1/2020,Ice cream B&J,$6.29 ,dairy
CVS,6/1/2020,Ice cream vanilla,$6.29 ,dairy
CVS,6/1/2020,Tax,$2.06 ,misc
CVS,6/1/2020,Tax,$0.31 ,misc
ABC Store,6/5/2020,Whisky and Tequila,$61.05 ,alcohol
Allen's Chinese,6/5/2020,Chinese food,$31.60 ,restaurant
Allen's Chinese,6/5/2020,tax,$1.67 ,misc
Walmart,6/9/2020,garlic,$0.31 ,produce
Walmart,6/9/2020,marinara,$4.28 ,condiments
Walmart,6/9/2020,penne,$0.78 ,pasta
Walmart,6/9/2020,spaghetti,$0.78 ,pasta
Walmart,6/9/2020,rotini,$0.78 ,pasta
Walmart,6/9/2020,pepperoni,$3.97 ,meat
Walmart,6/9/2020,brown rice,$0.70 ,grains
Walmart,6/9/2020,cream cheese,$1.53 ,dairy
Walmart,6/9/2020,milk,$1.42 ,dairy
Walmart,6/9/2020,bread,$0.88 ,bread
Walmart,6/9/2020,bagels,$3.24 ,breakfast
Walmart,6/9/2020,Honey nut cheerios,$3.64 ,breakfast
Walmart,6/9/2020,Cinnamon cheerios,$3.64 ,breakfast
Walmart,6/9/2020,tortillas,$1.98 ,bread
Walmart,6/9/2020,black beans,$2.22 ,canned
Walmart,6/9/2020,tomatoes,$1.50 ,produce
Walmart,6/9/2020,yellow pepper,$1.38 ,produce
Walmart,6/9/2020,red pepper,$1.38 ,produce
Walmart,6/9/2020,green pepper,$1.44 ,produce
Walmart,6/9/2020,mozzarella,$3.98 ,dairy
Walmart,6/9/2020,tax,$0.98 ,misc
Lowes,6/10/2020,30 amp circuit breaker,$4.50 ,improvement
Lowes,6/10/2020,12IN Male RV Hookup,$12.98 ,improvement
Lowes,6/10/2020,30A 4Wire Locking Receptical,$25.97 ,improvement
Lowes,6/10/2020,30A 4Wire Locking Wire End,$24.48 ,improvement
Lowes,6/10/2020,50 ft Romex,$52.56 ,improvement
Lowes,6/10/2020,30A Locking Connector,$43.48 ,improvement
Lowes,6/10/2020,Tax,$8.69 ,improvement
Lowes,6/11/2020,return,($43.48),improvement
Sheetz,6/12/2020,Gas,$20.17 ,transportation
Sam's Club,6/21/2020,Idaho potato mix,$6.98 ,snacks
Sam's Club,6/21/2020,Soap dial bars,$6.98 ,hygiene
Sam's Club,6/21/2020,8 pack rotel,$6.48 ,snacks
Sam's Club,6/21/2020,rasin bran (2 boxes),$5.78 ,breakfast
Sam's Club,6/21/2020,toothpaste,$12.98 ,hygiene
Sam's Club,6/21/2020,Lance crackers,$9.26 ,snacks
Sam's Club,6/21/2020,Sangria mix,$9.88 ,alcohol
Sam's Club,6/21/2020,dill pickles,$4.57 ,produce
Sam's Club,6/21/2020,Barilla spaghetti,$6.54 ,pasta
Sam's Club,6/21/2020,Vienna sausages,$8.56 ,snacks
Sam's Club,6/21/2020,Paper towels,$16.98 ,hygiene
Sam's Club,6/21/2020,Toilet paper,$19.98 ,hygiene
Sam's Club,6/21/2020,Baked beans,$6.28 ,canned
Sam's Club,6/21/2020,Baked beans,$6.28 ,canned
Sam's Club,6/21/2020,dill pickles,$4.57 ,produce
Sam's Club,6/21/2020,Iced brownies,$4.98 ,snacks
Sam's Club,6/21/2020,Franks hot sauce,$7.28 ,condiments
Sam's Club,6/21/2020,Parmesan 24 oz,$7.48 ,condiments
Sam's Club,6/21/2020,Hash canned,$7.98 ,canned
Sam's Club,6/21/2020,Belvita crackers,$10.98 ,snacks
Sam's Club,6/21/2020,Quaker chewy granola bars,$8.48 ,snacks
Sam's Club,6/21/2020,Mom's Old World Snack,$6.98 ,snacks
Sam's Club,6/21/2020,Folger Coffee,$6.98 ,snacks
Sam's Club,6/21/2020,Tax,$3.23 ,misc
Sam's Club,6/21/2020,Tax 2,$3.46 ,misc
CVS,6/20/2020,Ice cream (cookies and cream),$4.29 ,dairy
CVS,6/20/2020,fathers day cards,$8.97 ,supplies
CVS,6/20/2020,dental floss,$4.69 ,hygiene
CVS,6/20/2020,estimated,$3.95 ,misc
Food Lion,6/21/2020,Edys Classic Vanilla,$3.79 ,dairy
Food Lion,6/21/2020,Betty Crocker Walnut Brownie Mix,$2.78 ,snacks
Food Lion,6/21/2020,Peanut M&Ms,$1.99 ,snacks
Food Lion,6/21/2020,Tax,$0.21 ,misc
Walmart,6/28/2020,Orange juice,$1.64 ,breakfast
Walmart,6/28/2020,Orange juice,$1.64 ,breakfast
Walmart,6/28/2020,Whole milk,$2.66 ,dairy
Walmart,6/28/2020,Orange juice,$1.64 ,breakfast
Walmart,6/28/2020,Cookie dough ice cream,$1.97 ,dairy
Walmart,6/28/2020,Cream cheese,$1.53 ,dairy
Walmart,6/28/2020,brie,$2.98 ,dairy
Walmart,6/28/2020,cheddar,$2.76 ,dairy
Walmart,6/28/2020,gouda,$1.48 ,dairy
Walmart,6/28/2020,tomatoes,$1.50 ,produce
Walmart,6/28/2020,buger buns,$2.78 ,bread
Walmart,6/28/2020,bread,$0.88 ,bread
Walmart,6/28/2020,bread,$0.88 ,bread
Walmart,6/28/2020,syrup,$1.33 ,condiments
Walmart,6/28/2020,marghritta mix,$3.38 ,alcohol
Walmart,6/28/2020,olive oil,$9.74 ,condiments
Walmart,6/28/2020,cooking spray,$1.38 ,grocery
Walmart,6/28/2020,cooking spray,$1.38 ,grocery
Walmart,6/28/2020,salsa,$1.98 ,condiments
Walmart,6/28/2020,jelly,$1.84 ,condiments
Walmart,6/28/2020,breadcrumbs,$1.50 ,bread
Walmart,6/28/2020,liquid smoke,$1.34 ,condiments
Walmart,6/28/2020,liquid smoke,$1.34 ,condiments
Walmart,6/28/2020,liquid smoke,$1.34 ,condiments
Walmart,6/28/2020,liquid smoke,$1.34 ,condiments
Walmart,6/28/2020,bagels,$3.24 ,breakfast
Walmart,6/28/2020,tortillas,$2.58 ,bread
Walmart,6/28/2020,tortillas,$2.28 ,bread
Walmart,6/28/2020,melting cheese,$4.14 ,dairy
Walmart,6/28/2020,melting cheese,$4.14 ,dairy
Walmart,6/28/2020,wheat thins,$2.08 ,snacks
Walmart,6/28/2020,muffin mix,$2.14 ,breakfast
Walmart,6/28/2020,muffin mix,$2.14 ,breakfast
Walmart,6/28/2020,tea bags,$6.38 ,snacks
Walmart,6/28/2020,pancake mix,$4.98 ,breakfast
Walmart,6/28/2020,apples,$2.58 ,produce
Walmart,6/28/2020,tortilla chips,$3.98 ,snacks
Walmart,6/28/2020,coke,$4.98 ,snacks
Walmart,6/28/2020,tax,$2.45 ,misc
MeUndies,6/20/2020,underwear,$44.00 ,clothes
Capital Ale House,6/25/2020,Dinner with Sam and Allison,$51.67 ,restaurant
Capital Ale House,6/25/2020,Dinner with Sam and Allison,$17.23 ,restaurant
Deposit,6/29/2020,Mom's reimbursement of groceries and something else,($170.00),grocery
Sheetz,6/30/2020,Gas,$29.64 ,transportation
Shopify,7/10/2020,Website,$15.24 ,business
CVS,7/2/2020,Floss,$2.99 ,hygiene
CVS,7/2/2020,Ibuprofen,$8.49 ,hygiene
CVS,7/2/2020,Tampons,$6.79 ,hygiene
CVS,7/2/2020,Tax,$0.16 ,misc
CVS,7/2/2020,Tax,$0.17 ,misc
Target,7/4/2020,Online order,$47.63 ,clothes
Target,7/4/2020,Online order (gift card),$25.00 ,clothes
Target,7/8/2020,Refund,($72.63),clothes
Target,7/8/2020,Swimsuit,$39.99 ,clothes
Walmart,7/15/2020,Almond milk,$2.56 ,dairy
Walmart,7/15/2020,Tortillas,$1.29 ,bread
Walmart,7/15/2020,Tortillas,$1.29 ,bread
Walmart,7/15/2020,Cheerios,$3.64 ,breakfast
Walmart,7/15/2020,Whole milk,$2.69 ,dairy
Walmart,7/15/2020,Ice cream,$3.98 ,dairy
Walmart,7/15/2020,margarita mix,$3.38 ,alcohol
Walmart,7/15/2020,baking soda,$0.46 ,condiments
Walmart,7/15/2020,Tide,$6.94 ,hygiene
Walmart,7/15/2020,Eggs,$1.00 ,produce
Walmart,7/15/2020,Cheddar,$2.76 ,dairy
Walmart,7/15/2020,Tortilla chips,$2.98 ,snacks
Walmart,7/15/2020,Wheat thins,$3.18 ,snacks
Walmart,7/15/2020,Bagels,$3.24 ,breakfast
Walmart,7/15/2020,Tortillas,$2.28 ,bread
Walmart,7/15/2020,Bread,$0.98 ,bread
Walmart,7/15/2020,Salsa,$1.53 ,condiments
Walmart,7/15/2020,Tax,$1.28 ,misc
Food Lion,7/17/2020,Coffe creamer (caramel machiato),$2.99 ,dairy
Food Lion,7/17/2020,tax,$0.07 ,misc
Chik-fil-A,7/18/2020,Snack,$7.64 ,restaurant
Chik-fil-A,7/18/2020,tax,$0.40 ,restaurant
Mabels,7/22/2020,lunch with grandma,$37.83 ,restaurant
Mabels,7/22/2020,lunch with grandma,$10.00 ,restaurant
Walmart,7/24/2020,Refurbished desktop computer and wifi adapter,$371.69 ,supplies
James River State Park,7/25/2020,Sam's birthday river floating,$5.00 ,entertainment
Sheetz,7/25/2020,Gas,$23.25 ,transportation
VAABC,7/25/2020,Rum and Sam's Eagle Rare,$47.36 ,alcohol
Verizon,8/6/2020,Phone bill plus transfer of line,$50.00 ,utilities
Food Lion,8/1/2020,Colby jack,$5.49 ,dairy
Food Lion,8/1/2020,White cheddar,$3.99 ,dairy
Food Lion,8/1/2020,White cheddar,$3.99 ,dairy
Food Lion,8/1/2020,Mustard,$1.78 ,condiments
Food Lion,8/1/2020,Dr pepper,$5.79 ,canned
Food Lion,8/1/2020,Champagne,$8.99 ,alcohol
Food Lion,8/1/2020,Prosecco,$10.99 ,alcohol
Food Lion,8/1/2020,tax,$0.53 ,misc
Food Lion,8/1/2020,tax,$1.06 ,misc
Walmart,8/5/2020,tortilla chips,$2.98 ,snacks
Walmart,8/5/2020,Ruffles,$3.98 ,snacks
Walmart,8/5/2020,napkins,$1.53 ,hygiene
Walmart,8/5/2020,ice cream,$2.98 ,dairy
Walmart,8/5/2020,cheddar,$2.76 ,dairy
Walmart,8/5/2020,orange juice,$1.64 ,breakfast
Walmart,8/5/2020,orange juice,$1.64 ,breakfast
Walmart,8/5/2020,dried beans,$2.24 ,canned
Walmart,8/5/2020,kidney beans,$0.97 ,canned
Walmart,8/5/2020,pinto beans,$1.48 ,canned
Walmart,8/5/2020,black beans,$2.22 ,canned
Walmart,8/5/2020,elbows,$0.78 ,pasta
Walmart,8/5/2020,rotini,$0.78 ,pasta
Walmart,8/5/2020,penne,$0.78 ,pasta
Walmart,8/5/2020,raisin bran,$4.67 ,breakfast
Walmart,8/5/2020,cheerios,$3.64 ,breakfast
Walmart,8/5/2020,cream cheese,$2.27 ,breakfast
Walmart,8/5/2020,bagels,$3.24 ,breakfast
Walmart,8/5/2020,bagels,$3.24 ,breakfast
Walmart,8/5/2020,oats,$2.36 ,breakfast
Walmart,8/5/2020,bread,$0.88 ,bread
Walmart,8/5/2020,bread,$0.98 ,bread
Walmart,8/5/2020,tax,$1.19 ,misc
Food Lion,8/13/2020,coffee,$7.99 ,breakfast
Food Lion,8/13/2020,tax,$0.20 ,misc
CUNY SPS,8/14/2020,Tution and fees,"$2,997.50 ",education
Aldi,8/16/2020,Thin wheats,$0.98 ,snacks
Aldi,8/16/2020,Peanut butter cookies,$0.98 ,snacks
Aldi,8/16/2020,Brie,$2.99 ,dairy
Aldi,8/16/2020,Oatmilk,$2.99 ,dairy
Aldi,8/16/2020,Eggs,$2.39 ,produce
Cerro Azul,8/18/2020,dinner,$17.98 ,restaurant
Cerro Azul,8/18/2020,tax,$0.95 ,misc
Cerro Azul,8/18/2020,tip,$5.00 ,restaurant
Sheetz,8/19/2020,gas,$29.81 ,transportation
Walmart,8/21/2020,drumsticks,$3.58 ,dairy
Walmart,8/21/2020,ice cream,$3.98 ,dairy
Walmart,8/21/2020,ice cream,$3.98 ,dairy
Walmart,8/21/2020,tax,$0.29 ,misc
JTCC,8/21/2020,tuition and fees,$640.00 ,education
Sprint,8/21/2020,phone closing,$31.49 ,utilities
Walmart,8/22/2020,pita,$0.76 ,bread
Walmart,8/22/2020,pita,$0.76 ,bread
Walmart,8/22/2020,alfredo,$2.00 ,condiments
Walmart,8/22/2020,alfredo,$2.00 ,condiments
Walmart,8/22/2020,onions,$2.00 ,produce
Walmart,8/22/2020,goldfish,$6.28 ,snacks
Walmart,8/22/2020,buns,$2.78 ,bread
Walmart,8/22/2020,mozzarella,$12.77 ,dairy
Walmart,8/22/2020,cheddar,$2.76 ,dairy
Walmart,8/22/2020,bagels,$3.24 ,breakfast
Walmart,8/22/2020,rice,$4.32 ,grains
Walmart,8/22/2020,salsa,$0.98 ,condiments
Walmart,8/22/2020,milk,$2.98 ,dairy
Walmart,8/22/2020,milk,$2.98 ,dairy
Walmart,8/22/2020,mushrooms,$4.14 ,produce
Walmart,8/22/2020,eggs,$2.82 ,produce
Walmart,8/22/2020,tortilla chips,$2.68 ,snacks
Walmart,8/22/2020,tax,$1.41 ,misc
Allen's Chinese,8/22/2020,food,$50.02 ,restaurant
Thinx,8/22/2020,period panties,$32.30 ,clothes
Pearson,8/26/2020,textbook,$84.99 ,education
CVS,8/29/2020,birthday present,$18.43 ,entertainment
Joann,8/31/2020,soda cat,$3.15 ,entertainment
Verizon,9/1/2020,phone bill,$30.00 ,utilities
Sedona Taphouse,9/1/2020,lunch,$7.00 ,restaurant
Sedona Taphouse,9/1/2020,tax,$0.37 ,misc
Sedona Taphouse,9/1/2020,tip,$5.00 ,restaurant
Food Lion,9/3/2020,moscato,$6.99 ,alcohol
Food Lion,9/3/2020,rose,$6.99 ,alcohol
Food Lion,9/3/2020,tax,$0.74 ,misc
Sheetz,9/8/2020,gas,$30.83 ,transportation
JoAnn,9/10/2020,stabilizer,$14.99 ,supplies
JoAnn,9/10/2020,coupon,($6.00),supplies
JoAnn,9/10/2020,elastic,$7.99 ,supplies
JoAnn,9/10/2020,fabric,$13.99 ,supplies
JoAnn,9/10/2020,employee discount,($6.59),supplies
JoAnn,9/10/2020,tax,$1.05 ,misc
JoAnn,9/10/2020,tax,$0.24 ,misc
Walmart,9/13/2020,bow tie,$0.78 ,pasta
Walmart,9/13/2020,ziti,$0.78 ,pasta
Walmart,9/13/2020,pancake mix,$1.68 ,breakfast
Walmart,9/13/2020,pancake mix,$1.68 ,breakfast
Walmart,9/13/2020,pasta,$0.78 ,pasta
Walmart,9/13/2020,Cheerios,$3.64 ,breakfast
Walmart,9/13/2020,easy melt,$4.14 ,dairy
Walmart,9/13/2020,easy melt,$4.14 ,dairy
Walmart,9/13/2020,easy melt,$4.14 ,dairy
Walmart,9/13/2020,easy melt,$4.14 ,dairy
Walmart,9/13/2020,cereal,$5.72 ,breakfast
Walmart,9/13/2020,muffin mix,$0.86 ,breakfast
Walmart,9/13/2020,muffin mix,$0.98 ,breakfast
Walmart,9/13/2020,muffin mix,$0.86 ,breakfast
Walmart,9/13/2020,almond milk,$2.78 ,dairy
Walmart,9/13/2020,tortilla chips,$2.98 ,snacks
Walmart,9/13/2020,ruffles,$2.50 ,snacks
Walmart,9/13/2020,shampoo,$2.94 ,hygiene
Walmart,9/13/2020,brown sugar,$1.32 ,condiments
Walmart,9/13/2020,creamer,$3.48 ,dairy
Walmart,9/13/2020,beans,$2.22 ,canned
Walmart,9/13/2020,beans,$1.48 ,canned
Walmart,9/13/2020,tomato basil sauce,$0.88 ,condiments
Walmart,9/13/2020,marinara,$0.88 ,condiments
Walmart,9/13/2020,alfredo,$2.00 ,condiments
Walmart,9/13/2020,alfredo,$2.00 ,condiments
Walmart,9/13/2020,ice cream,$3.98 ,dairy
Walmart,9/13/2020,ice cream,$3.98 ,dairy
Walmart,9/13/2020,mozzarella,$4.48 ,dairy
Walmart,9/13/2020,mushrooms,$2.18 ,produce
Walmart,9/13/2020,hot sauce,$2.58 ,condiments
Walmart,9/13/2020,french onion dip,$1.00 ,condiments
Walmart,9/13/2020,french onion dip,$1.00 ,condiments
Walmart,9/13/2020,french onion dip,$1.00 ,condiments
Walmart,9/13/2020,ranch dip,$1.00 ,condiments
Walmart,9/13/2020,cream cheese,$1.53 ,dairy
Walmart,9/13/2020,brut,$7.48 ,alcohol
Walmart,9/13/2020,mozzarella,$12.77 ,dairy
Walmart,9/13/2020,bagels,$3.24 ,breakfast
Walmart,9/13/2020,bagels,$3.24 ,breakfast
Walmart,9/13/2020,basil,$2.98 ,produce
Walmart,9/13/2020,eggs,$3.84 ,produce
Walmart,9/13/2020,tax,$0.71 ,misc
Walmart,9/13/2020,tax,$2.57 ,misc
Food Lion,9/20/2020,Cherry frt bite,$3.99 ,grocery
Food Lion,9/20/2020,Cherry frt bite,$3.99 ,grocery
Food Lion,9/20/2020,coupon,($2.00),grocery
Food Lion,9/20/2020,biscuits,$1.19 ,bread
Food Lion,9/20/2020,biscuits,$1.19 ,bread
Food Lion,9/20/2020,biscuits,$1.19 ,bread
Food Lion,9/20/2020,whole milk,$2.99 ,dairy
Food Lion,9/20/2020,ice cream,$3.79 ,dairy
Food Lion,9/20/2020,coupon,($1.29),dairy
Food Lion,9/20/2020,ice cream,$3.79 ,dairy
Food Lion,9/20/2020,coupon,($1.29),dairy
Food Lion,9/20/2020,muffin mix,$1.00 ,breakfast
Food Lion,9/20/2020,muffin mix,$1.00 ,breakfast
Food Lion,9/20/2020,baking soda,$0.99 ,grocery
Food Lion,9/20/2020,hershey's,$5.29 ,snacks
Food Lion,9/20/2020,hershey's,$5.29 ,snacks
Food Lion,9/20/2020,marshmallows,$0.99 ,snacks
Food Lion,9/20/2020,marshmallows,$0.99 ,snacks
Food Lion,9/20/2020,graham crackers,$0.92 ,snacks
Food Lion,9/20/2020,hot cocoa,$3.29 ,snacks
Food Lion,9/20/2020,tea,$4.39 ,grocery
Food Lion,9/20/2020,muffin mix,$2.98 ,breakfast
Food Lion,9/20/2020,margarita mix,$5.79 ,grocery
Food Lion,9/20/2020,margarita mix,$5.79 ,grocery
Food Lion,9/20/2020,margarita mix,$5.79 ,grocery
Food Lion,9/20/2020,tax,$1.55 ,misc
Target,9/20/2020,band aids,$2.99 ,hygiene
Target,9/20/2020,soap,$8.39 ,hygiene
Target,9/20/2020,tax,$0.60 ,misc
MeUndies,9/22/2020,Office undies f/Brooke,$14.74 ,clothes
Venmo,9/22/2020,Venmo from Brooke,($14.00),clothes
JoAnn,9/24/2020,applique,$2.49 ,supplies
JoAnn,9/24/2020,coupon,($1.00),supplies
JoAnn,9/24/2020,fabric,$6.00 ,supplies
JoAnn,9/24/2020,employee discount,($1.80),supplies
JoAnn,9/24/2020,tax,$0.24 ,misc
JoAnn,9/24/2020,tax,$0.06 ,misc
Allen's Chinese,9/27/2020,food,$21.85 ,restaurant
Allen's Chinese,9/27/2020,tip,$4.00 ,restaurant
Subway,9/29/2020,subs,$11.78 ,restaurant
Subway,9/29/2020,tax,$0.63 ,misc
Subway,9/29/2020,tip,$1.86 ,restaurant
Verizon,10/1/2020,phone bill,$30.00 ,utilities
Sheetz,10/4/2020,gas,$29.08 ,transportation
Walmart,10/6/2020,hummus,$3.34 ,snacks
Walmart,10/6/2020,arugula,$1.96 ,produce
Walmart,10/6/2020,tortilla chips,$2.98 ,snacks
Walmart,10/6/2020,feta,$2.08 ,dairy
Walmart,10/6/2020,raisin bran,$4.67 ,breakfast
Walmart,10/6/2020,muffin mix,$2.98 ,breakfast
Walmart,10/6/2020,muffin mix,$2.14 ,breakfast
Walmart,10/6/2020,cream of mushroom,$0.94 ,canned
Walmart,10/6/2020,cream of mushroom,$0.94 ,canned
Walmart,10/6/2020,cookies,$2.42 ,snacks
Walmart,10/6/2020,coffee,$7.28 ,breakfast
Walmart,10/6/2020,cheddar,$2.76 ,dairy
